,Date, Open, High, Low, Close, Volume,change,Senti
120,11/17/20,150.0,150.63,149.12,149.35,7297736,1.9799999999999898,1
121,11/16/20,150.92,151.3,149.80100000000002,150.85,6266384,1.5,1
122,11/13/20,149.09,150.41,148.41,149.9,5896537,-0.9499999999999886,-1
123,11/12/20,147.61,148.65,146.7536,148.3,4712177,-1.5999999999999943,-1
124,11/11/20,149.17,149.2,146.86,147.8,6382407,-0.5,-1
125,11/10/20,147.25,148.75,146.26,148.28,7386462,0.47999999999998977,1
126,11/09/20,148.425,148.99,144.92,146.08,12351640,-2.1999999999999886,-1
127,11/06/20,140.4,143.19,139.65,142.25,5942538,-3.8300000000000125,-1
128,11/05/20,140.55,141.83,139.26,139.76,8016160,-2.490000000000009,-1
129,11/04/20,139.49,142.54,138.7,139.4,10263520,-0.3599999999999852,-1
130,11/03/20,140.02,140.96,137.78,138.5,6362978,-0.9000000000000057,-1
131,11/02/20,138.98,139.01,137.49,138.69,7088029,0.18999999999999773,1
132,10/30/20,136.68,137.54,133.65,137.11,7364752,-1.579999999999984,-1
133,10/29/20,138.0,138.7,136.05,137.19,7205409,0.07999999999998408,1
134,10/28/20,141.425,141.98,138.18,138.36,8426065,1.170000000000016,1
135,10/27/20,143.74,144.29,142.92,143.15,4890064,4.789999999999992,1
136,10/26/20,144.43,144.77,142.75,143.97,6929472,0.8199999999999932,1
137,10/23/20,145.88,147.47,144.35,145.24,4154372,1.2700000000000102,1
138,10/22/20,144.16,145.69,143.84,145.08,5280253,-0.1599999999999966,-1
139,10/21/20,144.12,145.34,143.91,143.93,5221348,-1.1500000000000057,-1
140,10/20/20,144.66,145.75,144.12,144.55,5326540,0.6200000000000045,1
141,10/19/20,148.53,148.9,144.13,144.32,7250755,-0.2300000000000182,-1
142,10/16/20,147.6,148.76,147.01,148.1,6098404,3.780000000000001,1
143,10/15/20,147.48,147.9,146.33,147.19,5979015,-0.9099999999999966,-1
144,10/14/20,148.82,149.03,147.39,148.1,7707047,0.9099999999999966,1
145,10/13/20,149.0,150.12,147.77,148.36,11057570,0.2600000000000193,1
146,10/12/20,151.6,153.142,151.02,151.84,7273170,3.4799999999999898,1
147,10/09/20,149.65,151.48,149.445,150.97,5054116,-0.8700000000000045,-1
148,10/08/20,148.5,149.85,148.04,148.89,4413531,-2.0800000000000125,-1
