,date,weighted_sent_score,tic
361,2021-03-03,0.0780407044786344,JNJ
362,2021-03-04,-2.2905498597765623,JNJ
363,2021-03-05,6.603323864563946,JNJ
364,2021-03-06,1.5849031242199052,JNJ
365,2021-03-08,0.8582866293034429,JNJ
366,2021-03-09,0.580414809424179,JNJ
367,2021-03-10,0.1856712460833935,JNJ
368,2021-03-11,-0.3164686535105383,JNJ
369,2021-03-12,-1.153324817633832,JNJ
370,2021-03-13,-2.1658980726025776,JNJ
371,2021-03-14,0.3652964297412381,JNJ
372,2021-03-15,0.3039041974705199,JNJ
373,2021-03-16,1.6271620755925689,JNJ
374,2021-03-17,4.0,JNJ
375,2021-03-18,0.7657623807018863,JNJ
376,2021-03-19,0.0010220470141626,JNJ
377,2021-03-20,0.0,JNJ
378,2021-03-21,0.0004511956685215,JNJ
379,2021-03-22,0.0,JNJ
380,2021-03-23,0.0190654205607476,JNJ
381,2021-03-24,1.9686703642632288,JNJ
382,2021-03-25,0.0591787439613526,JNJ
383,2021-03-26,0.015872065165309,JNJ
384,2021-03-28,0.8474672737620945,JNJ
385,2021-03-29,0.690828167223017,JNJ
386,2021-03-30,1.648469501750205,JNJ
387,2021-03-31,-0.0776843086777613,JNJ
388,2021-04-01,-0.1570402440224343,JNJ
389,2021-04-02,-1.1502733636502989,JNJ
390,2021-04-03,0.2833846711360753,JNJ
391,2021-04-04,0.0,JNJ
392,2021-04-05,-0.7253065073876139,JNJ
393,2021-04-06,4.577115384615386,JNJ
394,2021-04-07,0.2184310976084754,JNJ
395,2021-04-08,1.243874788885547,JNJ
396,2021-04-09,0.0,JNJ
397,2021-04-10,-0.5159544294223315,JNJ
398,2021-04-11,0.162979683972912,JNJ
399,2021-04-12,0.0,JNJ
400,2021-04-13,-0.0615126466147092,JNJ
401,2021-04-14,1.5880273748489369,JNJ
402,2021-04-15,6.45664130969753,JNJ
403,2021-04-16,-0.1427046237845816,JNJ
404,2021-04-17,-0.0696890751543297,JNJ
405,2021-04-18,-1.0763666623991806,JNJ
406,2021-04-19,1.0027085590465872,JNJ
407,2021-04-20,0.0078843626806833,JNJ
408,2021-04-21,-0.711038200140614,JNJ
409,2021-04-22,0.0005828779599271,JNJ
410,2021-04-23,1.0714779540605297,JNJ
411,2021-04-24,-0.3474496221662468,JNJ
412,2021-04-25,-0.5148342059336823,JNJ
413,2021-04-26,-1.2677702044790653,JNJ
414,2021-04-27,-7.900504355800092,JNJ
415,2021-04-28,-0.4350189915841215,JNJ
416,2021-04-29,0.0,JNJ
417,2021-04-30,-1.6215995647442871,JNJ
418,2021-05-02,-0.4062406836927357,JNJ
419,2021-05-03,1.9222499220941105,JNJ
420,2021-05-04,-1.139240506329114,JNJ
421,2021-05-05,0.0,JNJ
422,2021-05-06,1.987023519870235,JNJ
423,2021-05-07,0.0016059957173447,JNJ
424,2021-05-08,0.0,JNJ
425,2021-05-09,-0.3025570356760067,JNJ
426,2021-05-10,-0.1452769356623839,JNJ
427,2021-05-11,0.0,JNJ
428,2021-05-12,4.0,JNJ
429,2021-05-13,-1.189709172259508,JNJ
430,2021-05-14,0.6551410373066424,JNJ
431,2021-05-15,1.0,JNJ
432,2021-05-16,-7.0,JNJ
